"city_name","city_id"
"New Bombay","1107"
"Palghar","1108"
"Matheran","1109"
"Chalisgaon","1110"
"Chinchwad","1111"
"Bhusawal","1112"
"Daund","1113"
"Ahmednagar","1114"
"Gondia Civil Lines","1115"
"Bhandra","1116"
"Buldhana","1117"
"Khamgaon","1118"
"Paratwada","1119"
"Asegaon","1120"
"Bhayandar","1121"
"Ahmed Nagar","1122"
"Gadchiroli","1123"
"Raigarh(mh)","1124"
"Sindhudurg","1125"
"Raigad","1126"
"Leikai","1127"
"Thoubal","1128"
"Aizwal","1129"
"Longleng","1130"
"Boudh","1132"
"Ganjam","1133"
"Kalahandi","1134"
"Kendrapara","1135"
"Kendujhar","1136"
"Khordha","1137"
"Nabarangpur","1138"
"Puri","1139"
"Khurda","1140"
"CHANDNI CHOWK CUTTACK","1141"
"Athgarh","1142"
"Jagatsinghpur","1143"
"Jaleswar","1144"
"Rairangpur","1145"
"Chhatrapur","1146"
"Aska","1147"
"Bhanjanagar","1148"
"Paralakhemundi","1149"
"Phulbani","1150"
"Gurudaspur","1152"
"Bathinda","1153"
"Sambhar Lake","1155"
"Nasirabad","1156"
"Madanganj","1157"
"Marwar","1158"
"Mavli","1159"
"Kankroli","1160"
"Deeg","1161"
"Bayana","1162"
"Gangapur ","1163"
"Karauli","1164"
"Rawatbhata","1165"
"Dholpur","1166"
"Ratangarh","1167"
"Makrana","1168"
"Sri Madhopur","1169"
"Jalore","1170"
"Sri Ganganagar","1171"
"Avadi","1172"
"Tirukoilur","1173"
"Vridhachalam","1174"
"Virudhachalam","1175"
"Ulundurpet","1176"
"Tindivanam","1177"
"Melur","1178"
"Aruppukottai","1179"
"Srivilliputhur","1180"
"Sirkazhi","1181"
"Periyakulam","1182"
"Melakaveri","1183"
"Ambasamudram","1184"
"Mannargudi","1185"
"Papanasam","1186"
"Kovilpatti","1187"
"Sankarankovil","1188"
"Kulithalai","1189"
"Srivaikuntam","1190"
"Srirangam","1191"
"Thuckalay","1192"
"Parli","1193"
"Avinashi","1194"
"Lalgudi","1195"
"Udumalaipettai","1196"
"Kadamparai","1197"
"Coonoor","1198"
"Kotagiri","1199"
"Manamadurai","1200"
"Arakkonam","1201"
"Alagappapuram","1202"
"Devakottai","1203"
"Arni","1204"
"Ranipet","1205"
"Arcot","1206"
"Paramakudi","1207"
"Tiruppattur","1208"
"Sholavandan","1209"
"Palani","1210"
"Tallakulam","1211"
"Arasaradi","1212"
"Ariyalur","1213"
"Dhalai","1214"
"North Tripura","1215"
"South Tripura","1216"
"West Tripura","1217"
"Radhakishorepur","1218"
"Etah","1219"
"Nawabganj","1220"
"Fatehgarh","1221"
"Rasra","1222"
"Muzaffar Nagar","1223"
"Lalganj","1224"
"Balrampur","1225"
"Bansi","1226"
"Zamania","1227"
"Ghazipur","1228"
"Sandila","1229"
"Kunraghat","1230"
"Padrauna","1231"
"Khurja","1232"
"Mau Nath Bhanjan","1233"
"Auraiya","1234"
"Amroha","1235"
"Firozabad","1236"
"Chitrakoot","1237"
"Gautam Buddha Nagar","1238"
"Kanpur Dehat","1239"
"Kanpur Nagar","1240"
"Kushinagar","1241"
"mau","1242"
"Sant Kabir Nagar","1243"
"Sonbhadra","1244"
"Ambedkar Nagar","1245"
"Baghpat","1246"
"Lansdowne","1247"
"Bijnore","1248"
"Dhampur","1249"
"Shamli","1251"
"Pilibhit","1252"
"Ranikhet","1253"
"Alipore","1254"
"Katwa","1255"
"Rampurhat","1256"
"Balurghat","1257"
"Dhubulia","1258"
"Ranaghat","1259"
"Nabadwip","1260"
"Kandi","1261"
"Jalpaiguri","1262"
"North 24 Parganas","1264"
"South 24 Parganas","1265"
