v_model_name,v_model_id
"ARJUN NOVO 605 DI,i,4WD",9327
Arjun Novo 605 Di-i-with AC Cabin,8126
Arjun Novo 605 Di-MS,8121
ARJUN NOVO 605 DI-PS,9328
Arjun Novo 655 DI,6192
Arjun Ultra 1 605 Di,8119
Arkana,596
Armada,92
Armour,8068
Army Fighterdshox 24T,3862
Army Marine D Shox 26T MS,3974
Army Marine Dshox 26T,3954
Army Tank 26T,3952
Arnage,205
ARROW 16,5294
Arsen 26T,5421
Arsen 27.5T,6868
ARSENAL,3472
AS 42,12556
Asha 26T,3296
ASHVA ABS 42,12577
Ashva ABS 52,12580
Ashva AJ 24,12579
Aspire,339
Aspire 2018,325
ASPIRE 650B,5307
Assassin,4029
Aston Martin Zagato,152
Astor,6701
Astor 2023,9626
Astra,831
Astrid Lite,2160
Astro IBC 26T,3955
AT 10,7243
AT 20,7245
Atb Beast 30 T Shox Ddb 26T Ms,3784
Atb Beast T Shox 26T,3775
Ather Electric 450,3006
ATLANTA 700C HYBRID,8403
Atlas 650,1605
Atmos,677
Atom 22,8327
Atom 26,7388
Atom 35,8194
Atreo,8036
Atria,7510
Attacker 20T,3613
Attitude 24T 21S FS Double Disc,3696
Attitude 24T SS FS Double Disc,3690
Attitude 24T SS FS V-Brake,3691
Attitude 24T SS Rigid V-Brake,3692
Attitude 26T SS FS DD,7869
Attitude 26T SS FS VB,7867
Attitude 26T SS Rigid VB,7868
Atto 3,9283
Atum Vader,9386
ATX 26,6680
ATX 27.5 (2021),5648
Atx 275 2021,4155
Audace,1585
Audace 1400,1587
AUDACIO 100 CP,5074
AUDACIO 200 FDJ,5075
Audacio 200 FR,5095
AUDACIO 300 CP,5076
Audacio 400 TP,5068
AUDACIO 500 CP,5077
Aura,2146
Aura 2020-2023,2165
Auram,12976
Auric 275 13,4936
Auric 275 15,4935
Auric 275 Lt 11,4928
Auric 275 Lt 15,4927
Auto Shaped,9375
automation testing,9783
Avail AR 3(2021),4160
Avalanche 3,7298
Avalanche 3.0,7296
AVALANCHE COMP,5562
Avalanche Comp - 29,7294
AVALANCHE ELITE,5561
AVALANCHE EXPERT,5560
AVALANCHE SPORT,5559
Avan Xero Plus,3037
Avant,8067
Avante,389
Avanti,264
Avanza,762
Avatar 27.5 D,3555
Avenger,1010
Avenger 180,1222
Avenger 200,1223
Avenger 220,1199
Avenger 400,8528
Avenger Cruise 220,1177
Avenger Street,2660
Avenger Street 150,1180
Avenger Street 160,3185
Avenger Street 160 2019-20,1213
Avenger Street 180,1208
Avenger Street 220,1148
Avenis,7696
Aventador,463
Aveo,251
Aveo U VA,219
Aviator,1022
Aviator 16T,3365
AVIATOR 20T,3379
Avigo 16,5273
AVIGO 20,5275
Avinya EV,9018
AVION ULF,8793
AvionIQ,7774
AvionIQ 100,7588
AvionIQ 150,7587
AvionIQ 150+,7794
Avior E Cycle,1402
AVIRA 26T,8252
AVO 26T,3897
